location_id,start_month,end_month,type_count,type_id,taxonomic_rank,taxonomic_rank_name,en_name,scientific_name,scientific_synonyms
1760966,9,10,1,15,6,genus,Pear,Pyrus,
1760959,9,10,1,114,6,genus,Apple,Malus,
1761086,8,10,1,70,6,genus,Chestnut,Castanea,
1761089,9,10,1,277,6,genus,Dogwood,Cornus,
1761098,8,9,1,285,6,genus,Stone fruit,Prunus,
1761099,8,9,1,120,6,genus,Hazel,Corylus,
1761100,10,,1,70,6,genus,Chestnut,Castanea,
1761101,5,0,1,542,8,species,Wild garlic,Allium ursinum,
1761073,9,11,1,114,6,genus,Apple,Malus,
1761095,9,10,1,114,6,genus,Apple,Malus,
1761107,10,,1,2194,7,multispecies,Crabapple,Malus,
1761110,6,7,1,97,8,species,White mulberry,Morus alba,Morus tatarica
1761115,9,11,1,3227,6,genus,Arbutus,Arbutus,
1761118,9,10,1,697,8,species,Common chicory,Cichorium intybus,
1761124,8,10,3,14,8,species,Apple,Malus pumila,Malus domestica
1761124,8,10,3,112,8,species,Persian walnut,Juglans regia,
1761124,8,10,3,286,8,species,European pear,Pyrus communis,"Pyrus communis var. sativa, Pyrus sativa"
1761128,8,10,1,140,8,species,Fragrant sumac,Rhus aromatica,
1761130,10,,1,69,8,species,Quince,Cydonia oblonga,"Cydonia, Cydonia vulgaris"
1761131,10,,1,69,8,species,Quince,Cydonia oblonga,"Cydonia, Cydonia vulgaris"
1761367,9,11,1,14,8,species,Apple,Malus pumila,Malus domestica
1761369,9,10,1,363,8,species,Sweet chestnut,Castanea sativa,
1761106,7,8,1,114,6,genus,Apple,Malus,
1761133,9,10,1,2194,7,multispecies,Crabapple,Malus,
1761137,10,10,1,70,6,genus,Chestnut,Castanea,
1761138,9,10,1,294,8,species,Common hazel,Corylus avellana,
1761139,10,10,1,70,6,genus,Chestnut,Castanea,
1761140,10,10,1,70,6,genus,Chestnut,Castanea,
1761153,9,10,1,114,6,genus,Apple,Malus,
1761157,9,10,1,179,8,species,Bur oak,Quercus macrocarpa,
1761158,9,10,1,2194,7,multispecies,Crabapple,Malus,
1761160,9,11,1,114,6,genus,Apple,Malus,
1761162,6,8,1,115,6,genus,Serviceberry,Amelanchier,
1761164,9,10,1,1885,9,subspecies,Bartlett pear,Pyrus communis 'Bartlett',
1761165,6,7,1,62,7,multispecies,Cherry,Prunus,
1761166,6,7,1,121,8,species,Sour cherry,Prunus cerasus,
1761159,9,11,1,114,6,genus,Apple,Malus,
