type_id,count,taxonomic_rank,taxonomic_rank_name,en_name,scientific_name,scientific_synonyms
4512,1,9,subspecies,European plum,Prunus domestica 'Quetsche d'Alsace',
4479,1,8,species,Winter honeysuckle,Lonicera fragrantissima,
4517,1,9,subspecies,Apple,Malus pumila 'Borowitsky',
3405,1,8,species,Taruma,Vitex montevidensis,
4521,1,9,subspecies,Almond,Prunus amygdalus 'Lauranne',
2519,1,8,species,Downy currant,Ribes spicatum,Ribes pubescens
1124,1,8,species,Bishop wood,Bischofia javanica,
6195,1,6,genus,wheat,Triticum,
7719,1,8,species,pumpkin ash,Fraxinus profunda,
6200,1,0,polyphyletic,limpet,Gastropoda,
4527,1,9,subspecies,European pear,Pyrus communis 'Williams',
4528,1,9,subspecies,Apple,Malus pumila 'Belle de Boskoop Rouge',
6199,1,0,polyphyletic,cockle,Bivalvia,
1517,1,0,polyphyletic,Tumbleweed,,
4543,1,9,subspecies,Apple,Malus pumila 'Winter Gold',
4545,1,9,subspecies,Apple,Malus pumila 'Reinette du Mans',
7300,1,8,species,yellow perch,Perca flavescens,
2674,1,7,multispecies,Flowering cherry,Prunus,
7298,1,8,species,largemouth bass,Micropterus salmoides,
1051,1,8,species,Shingle oak,Quercus imbricaria,
3335,1,9,subspecies,Hubbardston Nonesuch apple,Malus pumila 'Hubbardston Nonesuch',
6340,1,8,species,crossberry,Grewia occidentalis,
7271,1,8,species,liberty cap,Psilocybe semilanceata,
4558,1,9,subspecies,Almond,Prunus amygdalus 'Texas',
3274,1,5,family,Waterfowl,Anatidae,
4568,1,9,subspecies,Sweet crabapple,Malus coronaria 'Charlottae',
1312,1,8,species,Arizona white oak,Quercus arizonica,
4573,1,9,subspecies,Black locust,Robinia pseudoacacia 'Frisia',
2509,1,6,genus,Creeper,Parthenocissus,
4588,1,9,subspecies,September Ruby apple,Malus pumila 'September Ruby',
311,1,8,species,Cider gum,Eucalyptus gunnii,
6326,1,8,species,fuzzy rattlepod,Crotalaria incana,
2499,1,8,species,Scotch laburnum,Laburnum alpinum,
2995,1,8,species,Cambuci,Campomanesia phaea,
3146,1,8,species,Japanese cedar,Cryptomeria japonica,Cupressus japonica
5083,1,9,subspecies,Siracusa lemon,Citrus x limon 'Femminello',
5082,1,9,subspecies,Siling labuyo chili pepper,Capsicum frutescens 'Siling Labuyo',
1455,1,9,subspecies,Datil pepper,Capsicum chinense,"Capsicum sinense, Capsicum toxicarium"
1382,1,8,species,African locust bean,Parkia biglobosa,
4426,1,9,subspecies,European plum,Prunus domestica 'Reine Claude',
7639,1,8,species,slender wild oat,Avena barbata,
7299,1,8,species,bluegill,Lepomis macrochirus,
1799,1,8,species,Wych elm,Ulmus glabra,
7694,1,8,species,sweet goldenrod,Solidago odora,
2536,1,8,species,Japanese spiraea,Spiraea japonica,
3147,1,8,species,Patagonian oak,Lophozonia obliqua,"Nothofagus obliqua, Fagus obliqua, Lophozonia heterocarpa"
2581,1,6,genus,Hydrangea,Hydrangea,
1383,1,6,genus,Morinda,Morinda,
1380,1,8,species,Chaa-plu,Piper sarmentosum,
1836,1,8,species,Himalayan birch,Betula utilis,
1381,1,8,species,Katuk,Sauropus androgynus,
3313,1,9,subspecies,Honeysweet pear,Pyrus communis 'Honeysweet',
1322,1,8,species,Whale's tonque agave,Agave ovatifolia,
1362,1,8,species,English elm,Ulmus procera,
1374,1,8,species,Sacred fig,Ficus religiosa,
1310,1,8,species,New mexico locust,Robinia neomexicana,
4652,1,9,subspecies,Peach,Prunus persica 'Flordabest',
4653,1,9,subspecies,Japanese persimmon,Diospyros kaki 'Tanenashi',
3314,1,9,subspecies,York elderberry,Sambucus canadensis 'York',
3318,1,9,subspecies,Calville Blanc d'hiver apple,Malus pumila 'Calville Blanc d'hiver',
3322,1,9,subspecies,Baldwin apple,Malus pumila 'Baldwin',"Malus pumila 'Calville Butter', Malus pumila 'Felch', Malus pumila 'Late Baldwin', Malus pumila 'Pecker', Malus pumila 'Red Baldwin's Pippin', Malus pumila 'Steele's Red Winter', Malus pumila 'Woodpecker'"
5177,1,8,species,Sensitive fern,Onoclea sensibilis,
3014,1,8,species,Cherry of the Rio Grande,Eugenia involucrata,
1315,1,8,species,Cereus childsii,Cereus childsii,
456,1,8,species,Mung bean,Vigna radiata,
885,1,8,species,Soybean,Glycine max,Glycine soja
4692,1,8,species,Indiangrass,Sorghastrum nutans,
1343,1,8,species,Green hawthorn,Crataegus viridis,
1805,1,8,species,Kobus magnolia,Magnolia kobus,
6302,1,8,species,pond apple,Annona glabra,
2597,1,9,subspecies,Mountain alder,Alnus incana subsp. tenuifolia,Alnus tenuifolia
1274,1,8,species,Cereus hildmannianus,Cereus hildmannianus,
4767,1,8,species,Blueberry ash,Elaeocarpus reticulatus,
975,1,8,species,Texas walnut,Juglans microcarpa,
4394,1,9,subspecies,Black locust,Robinia pseudoacacia 'Fastigiata',
7700,1,8,species,Chilean guava berry,Ugni molinae,Myrtus ugni
5193,1,8,species,Allspice,Pimenta dioica,
1234,1,8,species,Fever tree,Acacia xanthophloea,
4400,1,9,subspecies,Apple,Malus pumila 'Golden Hornett',
5218,1,6,genus,Kalanchoe,Kalanchoe,
2234,1,8,species,Buartnut,Juglans x bisbyi,
5214,1,9,subspecies,Scrumptious apple,Malus pumila 'Scrumptious',
5213,1,9,subspecies,Merton Pride pear,Pyrus communis 'Merton Pride',
2054,1,6,genus,Baobab,Adansonia,
3445,1,9,subspecies,Japanese cherry,Prunus serrulata 'Kanzan',Prunus serrulata 'Kwanzan'
5210,1,9,subspecies,Fiesta apple,Malus pumila 'Fiesta',Malus pumila 'Red Pippin'
3397,1,6,genus,Myrsine,Myrsine,
